Order_ID,Order_Date,Region,State,Category,Product,Quantity,Cost_Price,Selling_Price,Discount_Percentage,Final_Price,Profit,Revenue,Profit_Margin,Month,Year
100001,2023-08-22,North,Punjab,Clothing,Jacket,8,2929.94,3925.49,20,3140.39,1683.6,25123.12,6.701396960250159,8,2023
100002,2023-09-14,North,Delhi,Furniture,Sofa,6,2289.68,2635.07,0,2635.07,2072.34,15810.420000000002,13.107431681131809,9,2023
100003,2024-08-12,East,West Bengal,Furniture,Sofa,4,2384.19,3809.6,30,2666.72,1130.12,10666.88,10.594663106737864,8,2024
100004,2024-01-09,East,Bihar,Furniture,Table,6,3763.24,5353.25,0,5353.25,9540.06,32119.5,29.70176995283239,1,2024
100005,2024-09-20,West,Rajasthan,Office Supplies,Printer,1,1366.84,1854.9,20,1483.92,117.08,1483.92,7.889913202868079,9,2024
100006,2024-07-04,South,Kerala,Home Appliances,Microwave,4,2139.98,3412.17,30,2388.52,994.16,9554.08,10.405606819285582,7,2024
100007,2024-08-16,North,Punjab,Electronics,Headphones,8,1855.91,2268.59,20,1814.87,-328.32,14518.96,-2.2613189925449206,8,2024
100008,2023-06-08,South,Karnataka,Office Supplies,Notebook,6,4059.04,6055.86,15,5147.48,6530.64,30884.879999999997,21.145104012060273,6,2023
100009,2024-11-18,Central,Chhattisgarh,Electronics,Laptop,5,2065.14,3269.04,15,2778.68,3567.7,13893.4,25.67909942850562,11,2024
100010,2024-06-05,West,Gujarat,Furniture,Table,7,2386.27,2715.38,5,2579.61,1353.38,18057.27,7.4949314043595745,6,2024
100011,2023-01-28,Central,Chhattisgarh,Home Appliances,Mixer,3,4678.63,6963.07,5,6614.92,5808.87,19844.760000000002,29.271555816245698,1,2023
100012,2023-06-25,West,Maharashtra,Clothing,Jeans,1,3294.11,4663.0,10,4196.7,902.59,4196.7,21.507136559677846,6,2023
100013,2023-01-01,South,Kerala,Electronics,Headphones,5,1831.02,2731.56,30,1912.09,405.35,9560.449999999999,4.239863186356292,1,2023
100014,2023-10-04,South,Kerala,Office Supplies,Notebook,5,3510.53,4283.61,5,4069.43,2794.5,20347.149999999998,13.734110182507134,10,2023
100015,2024-11-01,East,Odisha,Electronics,Laptop,7,2782.22,3591.32,10,3232.19,3149.79,22625.33,13.92152070268146,11,2024
100016,2023-02-16,West,Maharashtra,Electronics,Mobile,1,1901.84,2644.02,5,2511.82,609.98,2511.82,24.28438343511876,2,2023
100017,2024-08-01,North,Haryana,Electronics,Laptop,1,568.35,828.94,5,787.49,219.14,787.49,27.827654954348624,8,2024
100018,2024-03-24,South,Kerala,Furniture,Sofa,2,4023.48,6069.4,10,5462.46,2877.96,10924.92,26.343076196438968,3,2024
100019,2023-03-12,West,Rajasthan,Furniture,Table,8,336.81,393.92,0,393.92,456.88,3151.36,14.497867587327375,3,2023
100020,2024-07-21,South,Tamil Nadu,Furniture,Chair,7,4071.68,5830.0,30,4081.0,65.24,28567.0,0.2283753981867189,7,2024
100021,2024-12-12,East,West Bengal,Furniture,Table,3,4253.79,6414.39,0,6414.39,6481.8,19243.170000000002,33.683639441942255,12,2024
100022,2024-06-10,West,Rajasthan,Electronics,Mobile,5,2447.02,3750.26,0,3750.26,6516.2,18751.300000000003,34.75065728776138,6,2024
100023,2024-06-12,West,Gujarat,Electronics,Laptop,7,1859.16,2097.68,20,1678.14,-1267.14,11746.980000000001,-10.786942686545817,6,2024
100024,2024-02-25,West,Rajasthan,Home Appliances,Fan,3,2824.38,4424.31,20,3539.45,2145.21,10618.349999999999,20.202856375990624,2,2024
100025,2024-08-25,East,West Bengal,Home Appliances,Mixer,5,3322.82,4970.04,10,4473.04,5751.1,22365.2,25.714502888415936,8,2024
100026,2024-06-07,West,Gujarat,Furniture,Chair,2,4792.42,5322.89,10,4790.6,-3.64,9581.2,-0.03799106583726464,6,2024
100027,2024-01-11,Central,Madhya Pradesh,Clothing,Jacket,4,4204.67,6352.71,30,4446.9,968.92,17787.6,5.447165441093796,1,2024
100028,2023-02-21,East,Bihar,Home Appliances,Mixer,2,1919.03,2516.33,5,2390.51,942.96,4781.02,19.72298798164408,2,2023
100029,2024-12-29,North,Punjab,Clothing,T-shirt,6,4070.54,6143.0,30,4300.1,1377.36,25800.600000000002,5.3384805004534766,12,2024
100030,2023-07-29,South,Tamil Nadu,Office Supplies,Printer,8,3911.37,4676.19,30,3273.33,-5104.32,26186.64,-19.49207687584203,7,2023
100031,2023-04-28,East,Odisha,Clothing,Jeans,8,2858.01,4232.89,20,3386.31,4226.4,27090.48,15.60105247304588,4,2023
100032,2024-01-26,Central,Madhya Pradesh,Office Supplies,Notebook,3,1245.9,1513.13,0,1513.13,801.69,4539.39,17.660742963261583,1,2024
100033,2023-11-28,Central,Chhattisgarh,Home Appliances,Mixer,2,4826.86,5907.42,30,4135.19,-1383.34,8270.38,-16.726438204774148,11,2023
100034,2023-06-12,Central,Madhya Pradesh,Home Appliances,Fan,5,1388.97,2047.65,15,1740.5,1757.65,8702.5,20.197069807526574,6,2023
100035,2024-04-05,North,Haryana,Electronics,Mobile,6,4067.27,5094.45,20,4075.56,49.74,24453.36,0.20340762987172317,4,2024
100036,2023-07-30,Central,Chhattisgarh,Office Supplies,Pen,6,333.42,412.47,20,329.98,-20.64,1979.88,-1.0424874234802108,7,2023
100037,2023-12-25,East,Bihar,Office Supplies,Notebook,8,3310.81,4446.78,20,3557.42,1972.88,28459.36,6.932271140320795,12,2023
100038,2024-09-23,East,West Bengal,Home Appliances,Mixer,1,4969.2,6349.88,20,5079.9,110.7,5079.9,2.179176755447942,9,2024
100039,2024-04-15,West,Gujarat,Furniture,Chair,8,4302.67,6791.78,15,5773.01,11762.72,46184.08,25.469209303292388,4,2024
100040,2024-03-19,South,Kerala,Clothing,Jacket,4,3922.44,5110.34,0,5110.34,4751.6,20441.36,23.245028706504854,3,2024
100041,2024-09-28,East,Bihar,Electronics,Mobile,7,2788.7,3208.08,20,2566.46,-1555.68,17965.22,-8.659398548974073,9,2024
100042,2023-06-01,West,Rajasthan,Clothing,Jeans,6,763.62,1072.03,10,964.83,1207.26,5788.9800000000005,20.854451043188956,6,2023
100043,2023-07-23,South,Tamil Nadu,Electronics,Headphones,5,4740.28,6435.22,0,6435.22,8474.7,32176.100000000002,26.33849347807845,7,2023
100044,2023-12-31,South,Kerala,Clothing,Jacket,1,4712.08,5498.02,15,4673.32,-38.76,4673.32,-0.8293889568871807,12,2023
100045,2023-04-01,North,Haryana,Electronics,Headphones,5,1055.09,1452.12,0,1452.12,1985.15,7260.599999999999,27.34140429165634,4,2023
100046,2024-06-04,North,Haryana,Electronics,Mobile,2,1787.96,2345.77,20,1876.62,177.32,3753.24,4.724451407317411,6,2024
100047,2024-05-18,North,Punjab,Office Supplies,Pen,8,1566.87,2353.64,5,2235.96,5352.72,17887.68,29.924059464391135,5,2024
100048,2023-05-12,West,Gujarat,Office Supplies,Notebook,8,4681.53,7112.41,10,6401.17,13757.12,51209.36,26.864463840204213,5,2023
100049,2023-08-26,South,Karnataka,Electronics,Headphones,3,613.02,961.97,5,913.87,902.55,2741.61,32.920437261317254,8,2023
100050,2023-08-04,South,Tamil Nadu,Electronics,Headphones,2,2061.19,3018.85,15,2566.02,1009.66,5132.04,19.673658038518795,8,2023
100051,2023-11-11,Central,Chhattisgarh,Office Supplies,Notebook,1,1227.83,1834.92,0,1834.92,607.09,1834.92,33.08536611950385,11,2023
100052,2024-04-08,West,Rajasthan,Furniture,Sofa,8,2118.8,2602.21,5,2472.1,2826.4,19776.8,14.291493062578375,4,2024
100053,2023-05-04,East,West Bengal,Home Appliances,Mixer,3,3363.87,4349.29,30,3044.5,-958.11,9133.5,-10.490064049926097,5,2023
100054,2023-07-24,West,Rajasthan,Home Appliances,Mixer,6,1789.94,2160.14,5,2052.13,1573.14,12312.78,12.776481022157466,7,2023
100055,2024-07-03,South,Kerala,Home Appliances,Mixer,1,2916.43,4045.33,10,3640.8,724.37,3640.8,19.895901999560536,7,2024
100056,2023-10-19,North,Punjab,Electronics,Headphones,3,4650.15,6780.04,5,6441.04,5372.67,19323.12,27.80436078645685,10,2023
100057,2023-06-11,West,Maharashtra,Furniture,Table,5,3477.89,4179.09,20,3343.27,-673.1,16716.35,-4.026596715192013,6,2023
100058,2023-01-17,Central,Madhya Pradesh,Office Supplies,Notebook,6,2812.38,4356.44,15,3702.97,5343.54,22217.82,24.050694442569075,1,2023
100059,2023-07-13,West,Maharashtra,Clothing,Jeans,3,1650.91,2235.52,10,2011.97,1083.18,6035.91,17.945595610272523,7,2023
100060,2024-03-02,South,Tamil Nadu,Furniture,Table,8,4281.81,4886.56,5,4642.23,2883.36,37137.84,7.763941036958531,3,2024
100061,2024-01-08,East,Odisha,Home Appliances,Mixer,1,2291.88,3349.65,30,2344.76,52.88,2344.76,2.2552414746072094,1,2024
100062,2024-08-24,West,Gujarat,Clothing,Jacket,3,2585.27,3176.56,0,3176.56,1773.87,9529.68,18.6141612310172,8,2024
100063,2023-10-08,South,Tamil Nadu,Home Appliances,Fan,8,383.55,458.05,10,412.25,229.6,3298.0,6.961795027289266,10,2023
100064,2023-08-13,Central,Chhattisgarh,Office Supplies,Notebook,7,1755.45,2512.44,15,2135.57,2660.84,14948.990000000002,17.79946337511765,8,2023
100065,2024-08-07,North,Haryana,Home Appliances,Mixer,5,2096.34,2792.65,5,2653.02,2783.4,13265.1,20.982879887825952,8,2024
100066,2024-04-26,West,Gujarat,Home Appliances,Fan,3,3119.03,3678.37,15,3126.61,22.74,9379.83,0.2424350974378,4,2024
100067,2024-06-17,South,Kerala,Office Supplies,Pen,6,1390.15,1638.9,10,1475.01,509.16,8850.06,5.753181334363836,6,2024
100068,2023-12-19,West,Gujarat,Electronics,Headphones,1,3979.98,4400.14,0,4400.14,420.16,4400.14,9.548787084047326,12,2023
100069,2024-01-30,South,Tamil Nadu,Electronics,Headphones,1,1856.14,2269.26,5,2155.8,299.66,2155.8,13.900176268670563,1,2024
100070,2024-01-26,East,Odisha,Clothing,Jacket,2,863.56,1144.52,0,1144.52,561.92,2289.04,24.548282249327226,1,2024
100071,2023-04-09,East,Bihar,Furniture,Table,2,574.64,694.98,5,660.23,171.18,1320.46,12.963664177635067,4,2023
100072,2024-05-12,North,Haryana,Clothing,Jacket,7,570.43,851.86,10,766.67,1373.68,5366.69,25.59641045038935,5,2024
100073,2023-09-16,North,Haryana,Electronics,Mobile,2,2187.68,3359.37,20,2687.5,999.64,5375.0,18.59795348837209,9,2023
100074,2023-06-12,North,Delhi,Home Appliances,Microwave,6,4432.33,6472.72,10,5825.45,8358.72,34952.7,23.914375713464196,6,2023
